name,pop
AT11,287318
AT12,1626262
AT13,1765575
AT21,555743
AT22,1214927
AT31,1425982
AT32,534185
AT33,721574
AT34,375323
BE10,1183841
BE21,1809412
BE22,858535
BE23,1472518
BE24,1109226
BE25,1179373
BE31,391801
BE32,1335063
BE33,1098531
BE34,278651
BE35,487041
BG31,810401
BG32,835813
BG33,954536
BG34,1063690
BG41,2127618
BG42,1453619
CH01,1545817
CH02,1808480
CH03,1104353
CH04,1425538
CH05,1134781
CH06,774123
CH07,346539
CY00,858000
CZ01,1243201
CZ02,1302336
CZ03,1210176
CZ04,1125429
CZ05,1506503
CZ06,1680287
CZ07,1222655
CZ08,1221832
DE11,3972881
DE12,2702831
DE13,2174500
DE14,1781066
DE21,4469342
DE22,1189153
DE23,1077991
DE24,1056365
DE25,1707376
DE26,1297992
DE27,1806025
DE30,3421829
DE40,2449193
DE50,657391
DE60,1746342
DE71,3822479
DE72,1023150
DE73,1199796
DE80,1596505
DE91,1574936
DE92,2099079
DE93,1670199
DE94,2446345
DEA1,5088748
DEA2,4333015
DEA3,2574148
DEA4,2024392
DEA5,3551553
DEB1,1474378
DEB2,519136
DEB3,2000852
DEC0,990718
DED2,1590927
DED4,1468954
DED5,986504
DEE0,2244577
DEF0,2815955
DEG0,2160840
DK01,1749405
DK02,816726
DK03,1202509
DK04,1277538
DK05,581057
EE00,1315819
EL11,606225
EL12,1899389
EL13,278214
EL14,736379
EL21,340240
EL22,207134
EL23,676670
EL24,558222
EL25,583818
EL30,3856059
EL41,198109
EL42,333848
EL43,629397
ES11,2747226
ES12,1058975
ES13,587682
ES21,2167166
ES22,636450
ES23,315223
ES24,1331301
ES30,6378297
ES41,2495689
ES42,2075197
ES43,1096421
ES51,7416237
ES52,4956427
ES53,1115841
ES61,8388875
ES62,1461803
FI19,1374403
FI1B,1585473
FI1C,1161882
FI1D,1300846
FI20,28666
FR10,12005077
FR21,1338122
FR22,1927387
FR23,1851909
FR24,2577474
FR25,1478211
FR26,1638492
FR30,4058332
FR41,2346292
FR42,1868773
FR43,1178937
FR51,3689465
FR52,3273343
FR53,1796434
FR61,3335134
FR62,2967153
FR63,735880
FR71,6448921
FR72,1359402
FR81,2757558
FR82,4964859
FR83,323092
HR04,2840901
HR03,1405908
HU10,2965413
HU21,1069190
HU22,984521
HU23,917492
HU31,1176894
HU32,1484375
HU33,1279480
IE01,1232783
IE02,3372718
IS00,325671
ITC1,4436798
ITC2,128591
ITC3,1591939
ITC4,9973397
ITF1,1333939
ITF2,314725
ITF3,5869965
ITF4,4090266
ITF5,578391
ITF6,1980533
ITG1,5094937
ITG2,1663859
ITH1,515714
ITH2,536237
ITH3,4926818
ITH4,1229363
ITH5,4446354
ITI1,3750511
ITI2,896742
ITI3,1553138
ITI4,5870451
LI00,37129
LT00,2943472
LU00,549680
LV00,2001468
ME00,621521
MK00,2065410
MT00,425384
NL11,582728
NL12,646317
NL13,488988
NL21,1139697
NL22,2019692
NL23,399893
NL31,1253672
NL32,2741369
NL33,3577032
NL34,380621
NL41,2479274
NL42,1120006
NO01,1209992
NO02,382230
NO03,969415
NO04,751632
NO05,875475
NO06,441193
NO07,478033
PL11,2498861
PL12,5292567
PL21,3316097
PL22,4548177
PL31,2134413
PL32,2083546
PL33,1253041
PL34,1165447
PL41,3441440
PL42,1691400
PL43,1008564
PL51,2869579
PL52,960226
PL61,2068417
PL62,1421264
PL63,2264817
PT11,3644195
PT15,442358
PT16,2281164
PT17,2807525
PT18,743306
RO11,2590220
RO12,2355312
RO21,3273367
RO22,2509094
RO31,3085095
RO32,2282968
RO41,2033360
RO42,1817895
SE11,2163042
SE12,1605347
SE21,819426
SE22,1426826
SE23,1921924
SE31,829134
SE32,368617
SE33,510548
SI01,1079655
SI02,981430
SK01,618380
SK02,1836664
SK03,1347233
SK04,1613672
TR10,14160467
TR21,1613616
TR22,1665089
TR31,4061074
TR32,2851086
TR33,2985153
TR41,3749582
TR42,3448702
TR51,5045083
TR52,2317164
TR61,2833306
TR62,3855034
TR63,3077753
TR71,1510080
TR72,2363390
TR81,1020957
TR82,763570
TR83,2714575
TR90,2553647
TRA1,1062345
TRA2,1145257
TRB1,1681719
TRB2,2092863
TRC1,2570208
TRC2,3409417
TRC3,2116727
UKC1,1182935
UKC2,1429984
UKD1,498095
UKD3,2723479
UKD4,1469603
UKD6,910766
UKD7,1513306
UKE1,924236
UKE2,806512
UKE3,1360875
UKE4,2261255
UKF1,2139545
UKF2,1744628
UKF3,726323
UKG1,1309294
UKG2,1586017
UKG3,2791752
UKH1,2435393
UKH2,1782435
UKH3,1759186
UKI1,3354812
UKI2,5117623
UKJ1,2323855
UKJ2,2795365
UKJ3,1932153
UKJ4,1769958
UKK1,2400262
UKK2,1295446
UKK3,546130
UKK4,1150833
UKL1,1946447
UKL2,1146450
UKM2,2049771
UKM3,2334318
UKM5,486500
UKM6,466872
UKN0,1835847
