nuts,val
AT11,3669
AT12,18917
AT13,395
AT21,9360
AT22,16251
AT31,11717
AT32,7050
AT33,12514
AT34,2534
BE10,161
BE21,2796
BE22,2388
BE23,2948
BE24,2102
BE25,3126
BE31,1091
BE32,3775
BE33,3844
BE34,4439
BE35,3655
BG31,18640
BG32,14708
BG33,14316
BG34,19363
BG41,20099
BG42,21866
CH01,8282.2
CH02,9781.2
CH03,1949.8
CH04,1660.9
CH05,11313.3
CH06,4267
CH07,2741.5
CY00,9214
CZ01,485
CZ02,10806
CZ03,17058
CZ04,8474
CZ05,12254
CZ06,13715
CZ07,9119
CZ08,5312
DK01,2558
DK02,7223
DK03,12256
DK04,13005
DK05,7879
EE00,43432
EL11,14064
EL12,18886
EL13,9258
EL14,14003
EL21,9085
EL22,2299
EL23,11067
EL24,15435
EL25,15475
EL30,3806
EL41,3823
EL42,5286
EL43,8335
ES11,29356
ES12,10564
ES13,5264
ES21,7231
ES22,10341
ES23,5037
ES24,47426
ES30,7967
ES41,93727
ES42,79019
ES43,40836
ES51,31923
ES52,23141
ES53,4984
ES61,86730
ES62,11295
ES63,19
ES64,13
FI19,58303
FI1B,9097
FI1C,31462
FI1D,203477
FI20,1552
HR03,24705
HR04,31889
HU10,6915.8
HU21,11116
HU22,11328.4
HU23,14168.7
HU31,13432.8
HU32,17728.8
HU33,18337.2
IE01,32097
IE02,36297
ITC1,24860
ITC2,3239
ITC3,5330
ITC4,22800
ITF1,10635
ITF2,4373
ITF3,13392
ITF4,19191
ITF5,9719
ITF6,14753
ITG1,25409
ITG2,23892
ITH1,7370
ITH2,6140
ITH3,17571
ITH4,7556
ITI1,22657
ITI2,8252
ITI4,16897
LI00,156.2
LT00,62675
LU00,2586
LV00,62210
MK00,24913
MT00,316
NL11,2325
NL12,3325
NL13,2636
NL21,3323
NL22,4968
NL23,1413
NL31,1382
NL32,2664
NL33,2805
NL34,1784
NL41,4913
NL42,2148
NO01,5005
NO02,49871
NO03,33680
NO04,23583
NO05,46763
NO06,38612
NO07,106712
RO11,33683
RO12,33781
RO21,36116
RO22,31164
RO31,33460
RO32,1759
RO41,28464
RO42,31596
SE11,6526
SE12,38435
SE21,33162
SE22,13900
SE23,29225
SE31,63666
SE32,70497
SE33,151929
SI01,12114.6
SI02,8023.4
SK01,2053
SK02,14992
SK03,16263
SK04,15728
TR10,5196
TR21,18665
TR22,24232
TR31,12012
TR32,32394
TR33,44728
TR41,28566
TR42,20184
TR51,24521
TR52,47717
TR61,35839
TR62,29399
TR63,23298
TR71,31187
TR72,59664
TR81,9493
TR82,26435
TR83,37524
TR90,35174
TRA1,40681
TRA2,30026
TRB1,35917
TRB2,41558
TRC1,15280
TRC2,33822
TRC3,26090
UKC1,3020.1
UKC2,5553.1
UKD1,6766.6
UKD3,1276
UKD4,3075.1
UKD6,2263.7
UKD7,724
UKE1,3517.3
UKE2,8309.6
UKE3,1551.6
UKE4,2029.2
UKF1,4784.1
UKF2,4901.7
UKF3,5920.6
UKG1,5895.3
UKG2,6201.3
UKG3,901.6
UKH1,12560.6
UKH2,2878.5
UKH3,3669.6
UKI1,319.3
UKI2,1252.9
UKJ1,5740.5
UKJ2,5444.2
UKJ3,4149.4
UKJ4,3735.8
UKK1,7464.8
UKK2,6103.2
UKK3,3562.6
UKK4,6707
UKL1,13102.5
UKL2,7632.7
UKM2,17950.8
UKM3,13059.5
UKM5,6498.3
UKM6,40424.3
UKN0,13562.2
AT11,3962
AT12,19186
AT13,415
AT21,9538
AT22,16401
AT31,11980
AT32,7156
AT33,12640
AT34,2601
BE10,161
BE21,2867
BE22,2422
BE23,2982
BE24,2106
BE25,3144
BE31,1091
BE32,3786
BE33,3862
BE34,4440
BE35,3666
BG31,19070
BG32,14974
BG33,14487
BG34,19799
BG41,20307
BG42,22365
CH01,8718.7
CH02,10062.2
CH03,1958.4
CH04,1728.9
CH05,11521.2
CH06,4483.1
CH07,2812.1
CY00,9251
CZ01,496
CZ02,11015
CZ03,17618
CZ04,8649
CZ05,12441
CZ06,13991
CZ07,9230
CZ08,5427
DE11,10557
DE12,6919
DE13,9357
DE14,8918
DE21,17531
DE22,10329
DE23,9690
DE24,7231
DE25,7245
DE26,8531
DE27,9993
DE30,892
DE40,29654
DE50,419
DE60,755
DE71,7445
DE72,5381
DE73,8289
DE80,23212
DE91,8100
DE92,9048
DE93,15495
DE94,14971
DEA1,5292
DEA2,7364
DEA3,6917
DEA4,6525
DEA5,8012
DEB1,8073
DEB2,4924
DEB3,6851
DEC0,2569
DED2,7931
DED4,6524
DED5,3965
DEE0,20452
DEF0,15800
DEG0,16173
DK01,2558
DK02,7223
DK03,12256
DK04,13005
DK05,7879
EE00,45227
EL11,14157
EL12,19147
EL13,9451
EL14,14037
EL21,9203
EL22,2307
EL23,11350
EL24,15549
EL25,15490
EL30,3808
EL41,3836
EL42,5286
EL43,8336
ES11,29575
ES12,10602
ES13,5327
ES21,7275
ES22,10390
ES23,5045
ES24,47721
ES30,8028
ES41,94227
ES42,79417
ES43,41634
ES51,32091
ES52,23256
ES53,4992
ES61,87597
ES62,11314
ES63,20
ES64,13
FI19,64763
FI1B,9568
FI1C,35376
FI1D,227148
FI20,1580
FR10,12012.3
FR21,25605.8
FR22,19399.5
FR23,12317.4
FR24,39150.9
FR25,17589.3
FR26,31582
FR30,12414.1
FR41,23547.4
FR42,8280.2
FR43,16202.3
FR51,32081.8
FR52,27207.9
FR53,25809.5
FR61,41308.4
FR62,45347.9
FR63,16942.3
FR71,43698.2
FR72,26012.9
FR81,27375.8
FR82,31399.6
FR83,8679.8
HU10,6916
HU21,11086
HU22,11328
HU23,14198
HU31,13429
HU32,17729
HU33,18338
IE01,33252
IE02,36545
ITC1,25387
ITC2,3261
ITC3,5416
ITC4,23864
ITF1,10833
ITF2,4461
ITF3,13670
ITF4,19541
ITF5,10073
ITF6,15222
ITG1,25833
ITG2,24100
ITH1,7398
ITH2,6207
ITH3,18407
ITH4,7862
ITH5,22453
ITI1,22988
ITI2,8464
ITI3,9401
ITI4,17232
LI00,160
LT00,65300
LU00,2586
LV00,64573
ME00,13812
MK00,25713
MT00,316
NL11,2960
NL12,5749
NL13,2680
NL21,3421
NL22,5136
NL23,2412
NL31,1449
NL32,4091
NL33,3418
NL34,2933
NL41,5082
NL42,2209
NO01,5372
NO02,52590
NO03,36613
NO04,25812
NO05,49156
NO06,41254
NO07,112975
PL11,18219
PL12,35558
PL21,15183
PL22,12333
PL31,25122
PL32,17846
PL33,11711
PL34,20187
PL41,29826
PL42,22892
PL43,13988
PL51,19947
PL52,9412
PL61,17972
PL62,24173
PL63,18310
PT11,21286
PT15,4997
PT16,28199
PT17,3015
PT18,31605
RO11,34159
RO12,34100
RO21,36850
RO22,35762
RO31,34453
RO32,1821
RO41,29212
RO42,32034
SE11,6779
SE12,41204
SE21,35382
SE22,14341
SE23,30934
SE31,69148
SE32,76709
SE33,164077
SI01,12212.3
SI02,8060.7
SK01,2053
SK02,14992
SK03,16263
SK04,15727
TR10,5315
TR21,18740
TR22,24423
TR31,12016
TR32,32658
TR33,45324
TR41,29095
TR42,20272
TR51,25402
TR52,49682
TR61,36797
TR62,29558
TR63,23484
TR71,31823
TR72,59751
TR81,9499
TR82,26466
TR83,37937
TR90,35174
TRA1,40798
TRA2,30193
TRB1,37323
TRB2,41755
TRC1,15879
TRC2,34540
TRC3,26090
UKC1,3046.8
UKC2,5629.5
UKD1,7182.5
UKD3,1276
UKD4,3263.2
UKD6,2289.9
UKD7,907.9
UKE1,3657.5
UKE2,8325.2
UKE3,1552.1
UKE4,2029.2
UKF1,4790.3
UKF2,4917.9
UKF3,6102.6
UKG1,5897.8
UKG2,6204.4
UKG3,901.6
UKH1,12746.6
UKH2,2878.5
UKH3,3946.9
UKI1,327.9
UKI2,1266.8
UKJ1,5743.4
UKJ2,5504.2
UKJ3,4249.3
UKJ4,3908.3
UKK1,7703.9
UKK2,6208.8
UKK3,3636.2
UKK4,6839.7
UKL1,13442.8
UKL2,7781.7
UKM2,18296.4
UKM3,13437.5
UKM5,6498.3
UKM6,41960.2
UKN0,14129.7
